iter	Passed	Remaining
802	2157	529
803	2160	526
804	2162	523
805	2165	521
806	2168	518
807	2170	515
808	2173	513
809	2175	510
810	2178	507
811	2181	505
812	2183	502
813	2186	499
814	2188	496
815	2191	494
816	2194	491
817	2196	488
818	2199	486
819	2202	483
820	2204	480
821	2207	478
822	2210	475
823	2212	472
824	2215	469
825	2218	467
826	2220	464
827	2223	461
828	2225	459
829	2228	456
830	2230	453
831	2233	451
832	2236	448
833	2238	445
834	2241	442
835	2244	440
836	2246	437
837	2249	434
838	2252	432
839	2254	429
840	2257	426
841	2259	424
842	2262	421
843	2264	418
844	2267	415
845	2270	413
846	2273	410
847	2275	407
848	2279	405
849	2281	402
850	2284	400
851	2287	397
852	2290	394
853	2293	392
854	2295	389
855	2298	386
856	2301	384
857	2304	381
858	2307	378
859	2310	376
860	2312	373
861	2315	370
862	2318	368
863	2321	365
864	2323	362
865	2326	359
866	2328	357
867	2331	354
868	2334	351
869	2336	349
870	2339	346
871	2341	343
872	2344	341
873	2347	338
874	2350	335
875	2353	333
876	2356	330
877	2359	327
878	2361	325
879	2364	322
880	2367	319
881	2370	317
882	2372	314
883	2375	311
884	2378	309
885	2381	306
886	2384	303
887	2387	301
888	2390	298
889	2393	295
890	2395	293
891	2398	290
892	2401	287
893	2404	285
894	2407	282
895	2410	279
896	2412	277
897	2415	274
898	2417	271
899	2420	268
900	2423	266
901	2426	263
902	2429	260
903	2431	258
904	2434	255
905	2436	252
906	2439	250
907	2442	247
908	2444	244
909	2447	242
910	2450	239
911	2452	236
912	2455	233
913	2458	231
914	2461	228
915	2463	225
916	2466	223
917	2469	220
918	2472	217
919	2474	215
920	2477	212
921	2480	209
922	2482	207
923	2486	204
924	2488	201
925	2491	199
926	2494	196
927	2497	193
928	2499	191
929	2502	188
930	2505	185
931	2508	183
932	2511	180
933	2514	177
934	2517	174
935	2520	172
936	2522	169
937	2525	166
938	2527	164
939	2530	161
940	2533	158
941	2535	156
942	2538	153
943	2540	150
944	2543	148
945	2545	145
946	2548	142
947	2550	139
948	2553	137
949	2556	134
950	2558	131
951	2561	129
952	2564	126
953	2567	123
954	2569	121
955	2572	118
956	2575	115
957	2577	113
958	2580	110
959	2583	107
960	2586	104
961	2588	102
962	2591	99
963	2594	96
964	2597	94
965	2600	91
966	2602	88
967	2605	86
968	2607	83
969	2610	80
970	2613	78
971	2616	75
972	2618	72
973	2621	69
974	2624	67
975	2626	64
976	2629	61
977	2632	59
978	2634	56
979	2637	53
980	2640	51
981	2642	48
982	2645	45
983	2648	43
984	2651	40
985	2653	37
986	2656	34
987	2660	32
988	2662	29
989	2665	26
990	2668	24
991	2671	21
992	2674	18
993	2677	16
994	2679	13
995	2682	10
996	2685	8
997	2688	5
998	2690	2
999	2693	0
